date,house_x,speaker,text,clean_text,text_length,speaker_norm,fullName,firstName,lastName,constituency,party,membership_start,membership_end,gender_guess,in_government
2011-04-19,dail,Minister for Defence (Deputy Alan Shatter),"Minister for Defence (Deputy Alan Shatter)
            I am satisfied that the Defence Forces have the necessary resources and capabilities to meet the current threat. The level of threat is kept under constant review by both An Garda Síochána and the Defence Forces, including their respective intelligence services. Whilst responsibility for apprehending and bringing those involved in the production of such devices rests with An Garda Síochána, the Defence Forces, pursuant to their role in providing Aid to the Civil Power and assisting the Gardaí as required.
            Requests made by An Garda Síochána for assistance in dealing with a suspect device or for the removal of old ordnance are responded to by the Explosive Ordnance Disposal (EOD) Team in the relevant Brigade.
            The challenge of dealing with the increasing level of sophistication in the preparation of IEDs is and will continue to be an integral part of the training that is provided to members of the Defence Forces who provide a unique response capability within the State to deal with such incidents. Apart from the significant levels of training which EOD Teams receive, the Defence Forces are also provided with specialised modern equipment in order to allow personnel to operate safely in dealing with incidents involving suspect devices. These capabilities have been enhanced and developed over many years in operational environments both at home and overseas and through continuing liaison with international agencies. The effectiveness of the Defence Forces in this very important function has undoubtedly saved many lives.
            To date in 2011, the Defence Forces' Explosive Ordnance Disposal Teams have had 66 call outs compared to a total of 192 in 2010 and 196 in 2009. Of the 66 call outs to date this year, nine devices were found to be viable IEDs.",            i am satisfied that the defence forces have the necessary resources and capabilities to meet the current threat the level of threat is kept under constant review by both an garda síochána and the defence forces including their respective intelligence services whilst responsibility for apprehending and bringing those involved in the production of such devices rests with an garda síochána the defence forces pursuant to their role in providing aid to the civil power and assisting the gardaí as required             requests made by an garda síochána for assistance in dealing with a suspect device or for the removal of old ordnance are responded to by the explosive ordnance disposal eod team in the relevant brigade             the challenge of dealing with the increasing level of sophistication in the preparation of ieds is and will continue to be an integral part of the training that is provided to members of the defence forces who provide a unique response capability within the state to deal with such incidents apart from the significant levels of training which eod teams receive the defence forces are also provided with specialised modern equipment in order to allow personnel to operate safely in dealing with incidents involving suspect devices these capabilities have been enhanced and developed over many years in operational environments both at home and overseas and through continuing liaison with international agencies the effectiveness of the defence forces in this very important function has undoubtedly saved many lives             to date in 2011 the defence forces explosive ordnance disposal teams have had 66 call outs compared to a total of 192 in 2010 and 196 in 2009 of the 66 call outs to date this year nine devices were found to be viable ieds,287,alan shatter,Alan Shatter,Alan,Shatter,Dublin South,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2013-07-02,dail,Deputy John Lyons,"Deputy John Lyons
            I thank the Chair for the opportunity to speak on the urgent need to ring-fence funding for the stalled primary care centre planned for Mellowes Road in Finglas, Dublin. To provide some background, the centre is in the capital expenditure plan and funding has been granted to get the project started. I warmly welcome this project, which Finglas needs badly. The site that the HSE identified as the best overall location is a Dublin City Council property on Mellowes Road in west Finglas. In order for the sale of land to go ahead, a vote was taken at the north west area committee meeting of local councillors the week before last. Unfortunately, apart from two Labour Party councillors who were in attendance, everyone else voted against the site's sale.
             While councillors might have voted against the land's sale for various reasons, the main opposition revolved around the belief that the centre should be located in Finglas village. I respect people's right to decide based on where they believe it should be located. However, a site was already planned as an ideal location which had been decided by the HSE after much consideration. Essentially, this has resulted in the indefinite stalling of a badly needed primary care facility in Finglas. It could also seriously threaten the funding to build this state-of-the-art primary care centre in future. 
             At the moment there are not enough GPs located in Finglas west or south to serve a population of approximately 18,000. It is recommended that there should be one GP for every 1,500 people but there are insufficient GPs in the Finglas west and south areas. This location is also recognised as an area of high deprivation. It has acute health care needs that have been identified by the HSE and would be best met in the locality. The HSE has told all public representatives in the area that there is no alternative site that meets its needs in Finglas for this primary care centre to go ahead. The HSE has said that GPs have signed up for this project. The HSE has also told us that it has plans for it but does not have the site to build the primary care centre. 
             If the HSE does not meet its deadlines for the project, the funding for it may be in danger. That is my major concern. I am very worried that if the proposals fall down at this stage the residents of Finglas will not get the primary care centre they badly need and deserve. 
             Can the Minister of State with responsibility for primary care ring-fence the funding for the proposed primary care centre in Finglas, irrespective of what happens with the purchase of the Mellowes Road site? Can some flexibility concerning deadlines be given to the HSE's project team? Any time extension on the decision to withdraw funding would give the HSE project team and local representatives the possibility of coming up with a solution that will still meet the need that the people of Finglas deserve, which is a primary care centre there. I would greatly appreciate it if the Minister of State could respond to those questions.",            i thank the chair for the opportunity to speak on the urgent need to ringfence funding for the stalled primary care centre planned for mellowes road in finglas dublin to provide some background the centre is in the capital expenditure plan and funding has been granted to get the project started i warmly welcome this project which finglas needs badly the site that the hse identified as the best overall location is a dublin city council property on mellowes road in west finglas in order for the sale of land to go ahead a vote was taken at the north west area committee meeting of local councillors the week before last unfortunately apart from two labour party councillors who were in attendance everyone else voted against the sites sale              while councillors might have voted against the lands sale for various reasons the main opposition revolved around the belief that the centre should be located in finglas village i respect peoples right to decide based on where they believe it should be located however a site was already planned as an ideal location which had been decided by the hse after much consideration essentially this has resulted in the indefinite stalling of a badly needed primary care facility in finglas it could also seriously threaten the funding to build this stateoftheart primary care centre in future               at the moment there are not enough gps located in finglas west or south to serve a population of approximately 18000 it is recommended that there should be one gp for every 1500 people but there are insufficient gps in the finglas west and south areas this location is also recognised as an area of high deprivation it has acute health care needs that have been identified by the hse and would be best met in the locality the hse has told all public representatives in the area that there is no alternative site that meets its needs in finglas for this primary care centre to go ahead the hse has said that gps have signed up for this project the hse has also told us that it has plans for it but does not have the site to build the primary care centre               if the hse does not meet its deadlines for the project the funding for it may be in danger that is my major concern i am very worried that if the proposals fall down at this stage the residents of finglas will not get the primary care centre they badly need and deserve               can the minister of state with responsibility for primary care ringfence the funding for the proposed primary care centre in finglas irrespective of what happens with the purchase of the mellowes road site can some flexibility concerning deadlines be given to the hses project team any time extension on the decision to withdraw funding would give the hse project team and local representatives the possibility of coming up with a solution that will still meet the need that the people of finglas deserve which is a primary care centre there i would greatly appreciate it if the minister of state could respond to those questions,527,john lyons,John Lyons,John,Lyons,Dublin North-West,Labour Party,2011-03-09,2016-03-09 00:00:00.000000,male,1
2023-12-13,dail,Senator Seán Kyne,"Senator Seán Kyne
          Is that a resourcing issue?",          is that a resourcing issue,5,sean kyne,Seán Kyne,Seán,Kyne,Cultural and Educational Panel,Fine Gael,2020-03-30,2025-01-29 00:00:00.000000,male,1
2012-02-15,dail,Deputy James Reilly,"Deputy James Reilly
            I see Deputy Adams is at Deputy Ó Caoláin's side.  I was here this morning when he made his contribution.  It seems to me when words such as ""there will be a devastating effect"" are used, it is almost as if Sinn Féin wished for there to be a disaster.",            i see deputy adams is at deputy ó caoláins side  i was here this morning when he made his contribution  it seems to me when words such as there will be a devastating effect are used it is almost as if sinn féin wished for there to be a disaster,50,james reilly,James Reilly,James,Reilly,Dublin North,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2024-07-03,dail,Deputy Neasa Hourigan,"Deputy Neasa Hourigan
          It will be the full primary care system.",          it will be the full primary care system,8,neasa hourigan,Neasa Hourigan,Neasa,Hourigan,Dublin Central,Green Party,2020-02-08,2024-11-08 00:00:00.000000,female,1
2025-04-03,dail,Deputy Pearse Doherty,"Deputy Pearse Doherty
          I thank the Cathaoirleach Gníomhach for that.",          i thank the cathaoirleach gníomhach for that,7,pearse doherty,Pearse Doherty,Pearse,Doherty,Donegal,Sinn Féin,2024-11-29,2025-12-30 21:16:51.191971,unknown,0
2021-09-16,dail,Deputy Colm Burke,"Deputy Colm Burke
            The report my office received from NBI in the past week suggested that Inniscarra, Kerry Pike, Clogheen, Tower, Blarney, Grenagh, Whitechurch, White's Cross and Carrignavar will not even be considered until 2025. I have seen the map, which was also made available to me, and it appears that about 80% of the constituency, which is within a radius of 10 miles or 12 miles of the city, will not even have a survey carried out until 2025. That is my concern.
            I am surprised that it is that far down the list in terms of work being carried out given that there is a large population and new housing going in. That is the most recent report I have received in the past week.",            the report my office received from nbi in the past week suggested that inniscarra kerry pike clogheen tower blarney grenagh whitechurch whites cross and carrignavar will not even be considered until 2025 i have seen the map which was also made available to me and it appears that about 80 of the constituency which is within a radius of 10 miles or 12 miles of the city will not even have a survey carried out until 2025 that is my concern             i am surprised that it is that far down the list in terms of work being carried out given that there is a large population and new housing going in that is the most recent report i have received in the past week,124,colm burke,Colm Burke,Colm,Burke,Cork North-Central,Fine Gael,2020-02-08,2024-11-08 00:00:00.000000,male,1
2024-01-23,dail,Deputy David Stanton,"Deputy David Stanton
            I would be very interested to know where that figure came from. Who came up with it? We have had flooding in 2015, 2018 and 2023. I am worried there might be another flood. I do not want to be wandering around the town in my wellingtons, helping people and pulling sandbags. I am getting too old for that. To be serious, this is devastating for the people affected.
             The Minister of State referred to insurance. I wish to put on record that some insurance companies have been slow to come forward. I will shortly name those insurance companies in the House if they do not come forward. It is not fair that people whose homes are insured are still waiting for relief, help, support and payments from insurance companies. The companies should be moving to help but some of them are not doing so. 
             Reference was made to Moore's Bridge. It is a private bridge. We want funding for it.
            The same applies to Water Rock bridge, which needs doing, and major work is needed in Mogeely and Castlemartyr.",            i would be very interested to know where that figure came from who came up with it we have had flooding in 2015 2018 and 2023 i am worried there might be another flood i do not want to be wandering around the town in my wellingtons helping people and pulling sandbags i am getting too old for that to be serious this is devastating for the people affected              the minister of state referred to insurance i wish to put on record that some insurance companies have been slow to come forward i will shortly name those insurance companies in the house if they do not come forward it is not fair that people whose homes are insured are still waiting for relief help support and payments from insurance companies the companies should be moving to help but some of them are not doing so               reference was made to moores bridge it is a private bridge we want funding for it             the same applies to water rock bridge which needs doing and major work is needed in mogeely and castlemartyr,180,david stanton,David Stanton,David,Stanton,Cork East,Fine Gael,2020-02-08,2024-11-08 00:00:00.000000,male,1
2010-03-31,seanad,Senator Fiona O’Malley,"Senator Fiona O’Malley
          The Minister of State has indicated that a child may need to travel abroad for two forms of treatment, one of which is psychiatric care.  Is the nature of the medical advice or treatment for which a child will be allowed to travel specified or is the provision general in nature?",          the minister of state has indicated that a child may need to travel abroad for two forms of treatment one of which is psychiatric care  is the nature of the medical advice or treatment for which a child will be allowed to travel specified or is the provision general in nature,51,fiona o'malley,Fiona O'Malley,Fiona,O'Malley,Nominated by the Taoiseach,Progressive Democrats,2007-07-23,2011-04-25 00:00:00.000000,female,1
2022-05-19,dail,Deputy Verona Murphy,"Deputy Verona Murphy
            Will Mr. Moloney explain to the committee the work of IGEES in the Department of Public Expenditure and Reform? How is its work disseminated through the public service?",            will mr moloney explain to the committee the work of igees in the department of public expenditure and reform how is its work disseminated through the public service,28,verona murphy,Verona Murphy,Verona,Murphy,Wexford,Independent,2020-02-08,2024-11-08 00:00:00.000000,female,0
2013-05-14,dail,Deputy Richard Boyd Barrett,"Deputy Richard Boyd Barrett
          Seriously, can you shut him up?",          seriously can you shut him up,6,richard boyd barrett,Richard Boyd Barrett,Richard,Boyd Barrett,Dún Laoghaire,People Before Profit Alliance,2011-03-09,2016-03-09 00:00:00.000000,male,0
2011-01-18,dail,Minister of State at the Department of the Environment; Heritage and Local Government (Deputy Michael Finneran),"Minister of State at the Department of the Environment; Heritage and Local Government (Deputy Michael Finneran)
            The National House Building Guarantee Scheme was established in January, 1978, under the aegis of the Construction Industry Federation, to provide a guarantee to purchasers of new houses against major structural defects. My Department's inspectors carried out inspections of properties covered under the guarantee scheme on an agency basis on behalf of the guarantee company.  Costs associated with these inspections were recouped to my Department by the guarantee company.  Homebond Insurance Services Limited took over responsibility for the guarantee scheme in January, 1995.
            My Department continued to provide inspection services to Homebond up to 2004. My Department's records show that over the period 21 January 1995 to 31 December, 2004, inspections were carried out in relation to some 365,611 properties registered with Homebond. A more detailed breakdown of this information is set out in the relevant Annual Housing Statistics Bulletins, copies of which are available on my Department's website, www.environ.ie.",            the national house building guarantee scheme was established in january 1978 under the aegis of the construction industry federation to provide a guarantee to purchasers of new houses against major structural defects my departments inspectors carried out inspections of properties covered under the guarantee scheme on an agency basis on behalf of the guarantee company  costs associated with these inspections were recouped to my department by the guarantee company  homebond insurance services limited took over responsibility for the guarantee scheme in january 1995             my department continued to provide inspection services to homebond up to 2004 my departments records show that over the period 21 january 1995 to 31 december 2004 inspections were carried out in relation to some 365611 properties registered with homebond a more detailed breakdown of this information is set out in the relevant annual housing statistics bulletins copies of which are available on my departments website wwwenvironie,150,michael finneran,Michael Finneran,Michael,Finneran,Roscommon-South-Leitrim,Fianna Fáil,2007-06-14,2011-02-01 00:00:00.000000,male,1
2020-12-10,dail,Deputy Colm Burke,"Deputy Colm Burke
            While I welcome the Minister's statement on this matter, a recent RTÉ programme outlined where over €8 million was taken from people over a number of years, but it is only in the last two to three years that a successful prosecution was brought. That is what concerns people, that something has gone on for ten to 15 years with little or no action taken and a reluctance or inability to be able to bring a successful prosecution during that period. One of the issues is whether we have a sufficient number of people with the expertise, especially in the area of forensic accounting. Perhaps the Minister will outline if additional people will be recruited to deal with that area, so we can deal with white-collar crime in an efficient and timely manner.",            while i welcome the ministers statement on this matter a recent rté programme outlined where over 8 million was taken from people over a number of years but it is only in the last two to three years that a successful prosecution was brought that is what concerns people that something has gone on for ten to 15 years with little or no action taken and a reluctance or inability to be able to bring a successful prosecution during that period one of the issues is whether we have a sufficient number of people with the expertise especially in the area of forensic accounting perhaps the minister will outline if additional people will be recruited to deal with that area so we can deal with whitecollar crime in an efficient and timely manner,133,colm burke,Colm Burke,Colm,Burke,Cork North-Central,Fine Gael,2020-02-08,2024-11-08 00:00:00.000000,male,1
2013-05-23,dail,Deputy Eoghan Murphy,"Deputy Eoghan Murphy
          I am curious. On the Government books for 2011, does it say we saved €4.2 million on energy?",          i am curious on the government books for 2011 does it say we saved 42 million on energy,18,eoghan murphy,Eoghan Murphy,Eoghan,Murphy,Dublin South-East,Fine Gael,2011-03-09,2016-03-09 00:00:00.000000,male,1
2022-03-09,dail,Deputy Imelda Munster,"Deputy Imelda Munster
          Does the Minister have a breakdown of the funding it receives with her?",          does the minister have a breakdown of the funding it receives with her,13,imelda munster,Imelda Munster,Imelda,Munster,Louth,Sinn Féin,2020-02-08,2024-11-08 00:00:00.000000,female,0
